latitude,longitude,objectid,id,nome,geoaprox,periodinun,st_area(shape),st_perimeter(shape),
0,0,2142,2142, ,0, ,2.433288322097579e-8,0.0006455978734707501,
0,0,85,85, ,0, ,0.000001742442041255878,0.0118611806690676,
0,0,86,86, ,0, ,3.018597646261357e-7,0.0026572228401402056,
0,0,87,87, ,0, ,5.237971295004792e-7,0.003353240782934564,
0,0,88,88, ,0, ,0.000003612835339064509,0.011976607420823737,
0,0,89,89, ,0, ,3.6822207120386795e-8,0.0014343491846355153,
0,0,90,90, ,0, ,1.1521198248424438e-8,0.00047102854299930065,
0,0,91,91, ,0, ,5.519776134015818e-7,0.004467822569465539,
0,0,92,92, ,0, ,0.00001737488904461238,0.022715217477365626,
0,0,93,93, ,0, ,4.059620452950249e-7,0.006446415210927072,
0,0,94,94, ,0, ,0.0000065999845556013615,0.013376505705623216,
0,0,95,95, ,0, ,7.464331620908237e-7,0.006228502354681956,
0,0,143,143, ,0, ,0.000001748509796034981,0.008148204236625387,
0,0,96,96, ,0, ,0.000025203100246169966,0.05326905696137074,
0,0,97,97, ,0, ,0.000013545780968997835,0.05276572109687247,
0,0,98,98, ,0, ,3.5433412861761534e-9,0.0003508390474860567,
0,0,99,99, ,0, ,1.9499470430900132e-7,0.0029566635246581403,
0,0,100,100, ,0, ,0.000003093020963466997,0.010882557224718616,
0,0,101,101, ,0, ,0.00001146214602098419,0.015385189954437321,
0,0,108,108, ,0, ,0.00013340439778127995,0.05561210384242953,
0,0,109,109, ,0, ,0.000006983441485012302,0.01543431085716257,
0,0,110,110, ,0, ,4.912944690210865e-7,0.003765184658959295,
0,0,111,111, ,0, ,6.351295646759321e-7,0.00388867182742601,
0,0,112,112, ,0, ,3.387787202819601e-7,0.002528013954877132,
0,0,102,102, ,0, ,0.00001735434666880771,0.057009113805319804,
0,0,103,103, ,0, ,0.0000035995800714937944,0.013333507013232259,
0,0,104,104, ,0, ,4.009401512594807e-7,0.003749085128283102,
0,0,105,105, ,0, ,0.0000019146077104882138,0.009689744957107354,
0,0,106,106, ,0, ,4.60758430557678e-7,0.004324071924489199,
0,0,107,107, ,0, ,6.782913129108177e-7,0.004325277317804947,
0,0,113,113, ,0, ,5.449314002535793e-7,0.006984433802788184,
0,0,114,114, ,0, ,0.00009743691891093752,0.13334428123300057,
0,0,115,115, ,0, ,0.00009562820769766324,0.19443792153688358,
0,0,116,116, ,0, ,8.08569960838664e-8,0.002577270559958018,
0,0,117,117, ,0, ,3.5509614704695495e-7,0.0038370260515191022,
0,0,118,118, ,0, ,0.00000897596346282857,0.023232481737847813,
0,0,119,119, ,0, ,3.683786841900191e-7,0.0033953630269995326,
0,0,120,120, ,0, ,1.28710776957686e-7,0.0018012498771815167,
0,0,121,121, ,0, ,0.000037088136709969105,0.029167925048520872,
0,0,122,122, ,0, ,0.000009048999724707364,0.01470398118078149,
0,0,123,123, ,0, ,4.57245794734383e-7,0.003239985622848759,
0,0,124,124, ,0, ,5.786418205079709e-7,0.005407804107813838,
0,0,125,125, ,0, ,0.000019770170153490668,0.02838993643362823,
0,0,126,126, ,0, ,1.4296838792631532e-7,0.0020853846995132507,
0,0,127,127, ,0, ,0.0000041037542171419685,0.009134995804903385,
0,0,128,128, ,0, ,3.5905920750093234e-7,0.005493325741999688,
0,0,141,141, ,0, ,0.000002645669986081564,0.01013434590061751,
0,0,129,129, ,0, ,0.000007165261050390789,0.024696798093766178,
0,0,130,130, ,0, ,0.000005031098596707716,0.011802975520061139,
0,0,131,131, ,0, ,1.4173040342570597e-7,0.0018142804665299407,
0,0,132,132, ,0, ,0.0000044535470801746085,0.015170259877175985,
0,0,133,133, ,0, ,0.000001439373286362986,0.013677409782456585,
0,0,134,134, ,0, ,0.00001341386261464723,0.01588767434483382,
0,0,135,135, ,0, ,1.3211507717930798e-7,0.0016702259928959387,
0,0,136,136, ,0, ,1.8275223845095694e-7,0.0031524748367589084,
0,0,137,137, ,0, ,0.00020853652591731414,0.1671783788825157,
0,0,138,138, ,0, ,0.000014166181133394982,0.034212751648528605,
0,0,139,139, ,0, ,0.000002052997794356733,0.011768837623006713,
0,0,140,140, ,0, ,0.000038643438171386574,0.05773423590422404,
0,0,439,439, ,0, ,1.1606257860630372e-7,0.0022780537590084667,
0,0,144,144, ,0, ,0.000019715918826623266,0.024284927667318816,
0,0,145,145, ,0, ,0.000004045303411432645,0.010243402539446519,
0,0,146,146, ,0, ,0.00002968135122018217,0.03689072927075422,
0,0,147,147, ,0, ,0.00003161309774195623,0.031741129322161575,
0,0,148,148, ,0, ,0.000019894044851142605,0.021136229539887374,
0,0,149,149, ,0, ,0.000008062286858520173,0.05658219263108174,
0,0,150,150, ,0, ,0.000005301480625934676,0.023960140325780747,
0,0,151,151, ,0, ,0.000011824137841430011,0.015617547749300137,
0,0,2513,2513, ,0, ,9.239873414292505e-8,0.001470030397418604,
0,0,152,152, ,0, ,0.0000035282060147285317,0.009831509907633894,
0,0,153,153, ,0, ,0.0000017970658392935062,0.014128574454332465,
0,0,154,154, ,0, ,1.7865644089690462e-7,0.0034568818326117094,
0,0,155,155, ,0, ,8.640395277235371e-7,0.018825914902178498,
0,0,156,156, ,0, ,7.803027165787697e-8,0.0016608184174407676,
0,0,157,157, ,0, ,0.0007203065648735165,1.073055820810996,
0,0,158,158, ,0, ,0.000028654375591472244,0.039133141445995445,
0,0,159,159, ,0, ,0.000003743441756185435,0.00937189607991547,
0,0,160,160, ,0, ,0.00013246734640851926,0.2051191885394979,
0,0,161,161, ,0, ,0.00008619466028322501,0.1471860545229442,
0,0,162,162, ,0, ,0.00018863144945649815,0.25042949377828083,
0,0,163,163, ,0, ,0.000006030677498491344,0.02181487572286319,
0,0,174,174, ,0, ,9.640742785225445e-7,0.007287202528783661,
0,0,164,164, ,0, ,0.0000035178799741651623,0.024830256280898313,
0,0,165,165, ,0, ,0.0000013398595350841279,0.006172717474945994,
0,0,166,166, ,0, ,0.00008814496188501896,0.13935459053933585,
0,0,167,167, ,0, ,0.000002865137493037103,0.006786586037437698,
