latitude,longitude,FID,id,st_area(shape),st_perimeter(shape),
0,0,113,233,5.340356553658751e-8,0.0010574773574132314,
0,0,114,234,5.098161709161596e-7,0.0031000548919926704,
0,0,115,235,5.340106710673745e-8,0.0010574443491942805,
0,0,116,236,6.996191794648073e-7,0.003452569331031009,
0,0,117,240,5.450231608504013e-7,0.0030509835601570364,
0,0,118,241,5.340331929934987e-8,0.0010574749065959989,
0,0,119,242,4.6797063084474277e-7,0.00276088128222889,
0,0,120,243,1.830428560945547e-7,0.0019849351085621555,
0,0,121,246,1.0649558699029917e-7,0.001541474787571525,
0,0,122,247,1.8477799108286649e-7,0.001987646103081258,
0,0,123,248,2.632863786337058e-7,0.0025031779068736422,
0,0,124,249,5.340325293441805e-8,0.001057472364289397,
0,0,125,252,5.768229655931675e-7,0.003561397552860458,
0,0,126,253,1.0649419660979451e-7,0.001541461997766204,
0,0,127,254,1.0649671537258502e-7,0.0015414831978553486,
0,0,128,255,0.000001000478753414447,0.004043597952086528,
0,0,129,256,0.0000010420127913751554,0.0041983085722126535,
0,0,130,257,8.219345740449605e-7,0.004077630691831171,
0,0,131,258,0.0000017802564104851824,0.007225001857819693,
0,0,132,259,1.0528216653107594e-7,0.0016365911221183772,
0,0,133,260,4.0222425211042687e-7,0.0029335421771033736,
0,0,134,261,3.70436945113067e-7,0.003029202644563172,
0,0,135,267,0.0000028114196032328108,0.007852253139870133,
0,0,136,270,1.709208858778546e-7,0.001962749971879894,
0,0,137,271,0.0000014349355683475676,0.00650122517961444,
0,0,138,272,4.648126828461683e-7,0.0031348306878686764,
0,0,139,275,3.463349134139088e-7,0.0030607311617457207,
0,0,140,276,1.8069180071560854e-7,0.0019913721509176407,
0,0,141,277,4.0222388426983936e-7,0.002933532245773253,
0,0,142,278,0.0000021665992097419743,0.007200852311757811,
0,0,143,279,0.0000041905772160156715,0.01114243771928141,
0,0,144,280,0.0000010231534514012632,0.004189936905347452,
0,0,145,281,5.3402719592284676e-8,0.0010574637906086701,
0,0,146,283,1.0528818515995624e-7,0.0016366766559804391,
0,0,147,284,1.0649082603639936e-7,0.00154143374567066,
0,0,148,285,8.088967951408151e-7,0.004498799252803507,
0,0,149,286,2.095683872928202e-7,0.0020979947594048872,
0,0,150,287,2.0957004033670976e-7,0.0020980064420996715,
0,0,151,290,4.487899688417666e-7,0.0030851846916429048,
0,0,152,291,5.34025742707817e-8,0.001057461386468623,
0,0,153,294,0.000001567937274571278,0.006265071629664397,
0,0,154,295,3.550810183686988e-7,0.002618107288302654,
0,0,155,296,2.7727766383272365e-7,0.0025379700365108413,
0,0,156,297,1.0528062618719242e-7,0.001636575280689311,
0,0,157,298,2.632866488614101e-7,0.0025031142483003185,
0,0,158,299,0.0000010278139063386946,0.004445323517730225,
0,0,159,301,1.0650214931188801e-7,0.0015415268922072877,
0,0,160,302,1.0528077204763218e-7,0.0016365764901483551,
0,0,161,303,3.8146128592536415e-7,0.0029187568845445893,
0,0,162,304,1.052863382929876e-7,0.001636644818878976,
0,0,163,305,1.610005153105847e-7,0.0020391118910209833,
0,0,164,306,3.433646052223728e-7,0.00242618647594498,
0,0,165,308,2.0957798222822597e-7,0.002098060055117295,
0,0,166,310,5.340505895998996e-8,0.0010574937680371426,
0,0,167,311,0.0000029547788792667178,0.007919190315075455,
0,0,168,312,4.6796219694345763e-7,0.002760853882195123,
