latitude,longitude,objectid,id,nome,geoaprox,classporte,antrop,densidade,secundaria,st_area(shape),st_perimeter(shape),
0,0,93,93, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000015217226560443175,0.02139915479023274,
0,0,94,94, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000015006764953426936,0.019037656548182028,
0,0,95,95, ,0,Desconhecida,Desconhecido,Desconhecida,Desconhecido,0.000020812245705140726,0.032764922596644916,
0,0,96,96, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000006229616017214546,0.01571454074177825,
0,0,110,110, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.00000443678406998773,0.010298426436930205,
0,0,111,111, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000029157482406724687,0.011487331319091285,
0,0,621,621, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,6.233263037339133e-7,0.003581793060035169,
0,0,97,97, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000018070007142699086,0.03119488816620499,
0,0,98,98, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000005008990870911083,0.017727915033273187,
0,0,99,99, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000026004615071852996,0.00831447346196717,
0,0,100,100, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000013558928766048366,0.006884095270366513,
0,0,101,101, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000007950375056471106,0.014598358625160297,
0,0,102,102, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.000007615807794412519,0.025343764647284262,
0,0,103,103, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000031004470651435966,0.006676839877784725,
0,0,104,104, ,0,Arbustiva,Desconhecido,Desconhecida,Desconhecido,0.0000031974017682495864,0.007466084790601595,
