latitude,longitude,OBJECTID,canteirodivisorio,geometriaaproximada,nome,nomeabrev,nrfaixas,operacional,revestimento,situacaofisica,trafego,geom_Length,st_length(shape),
0,0,106,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002077070188195106,
0,0,107,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.003071056835157909,
0,0,108,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016250323231377457,
0,0,109,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014561337555087399,
0,0,110,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014567956261772358,
0,0,111,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014559617465047265,
0,0,112,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015331104838639188,
0,0,113,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002825900071747248,
0,0,114,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015282455495764019,
0,0,115,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001509873806055712,
0,0,116,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001584943232580349,
0,0,117,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015558829500401416,
0,0,118,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001474164940133403,
0,0,119,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001465153680349359,
0,0,120,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014689842574773652,
0,0,121,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015316437972922121,
0,0,122,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001344148314596297,
0,0,123,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013518110083131465,
0,0,124,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016749200317027891,
0,0,125,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001523477383013756,
0,0,126,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014928747476274172,
0,0,127,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013585192565199035,
0,0,128,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013514590495465227,
0,0,129,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013661885247016343,
0,0,130,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001490569620755322,
0,0,131,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014976037789197795,
0,0,132,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.00147093845768817,
0,0,133,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001489464280671799,
0,0,134,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015683737731937088,
0,0,135,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015815576622055158,
0,0,136,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015747775870073736,
0,0,137,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015714918068077623,
0,0,138,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014917187242463059,
0,0,139,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001736132756587404,
0,0,140,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001481759346480681,
0,0,141,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015745423433361845,
0,0,142,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014041388106803148,
0,0,143,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013803251043210491,
0,0,144,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001577621425580918,
0,0,145,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016196213363513705,
0,0,146,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013976622450485494,
0,0,147,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014130846035652364,
0,0,148,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001748671165454826,
0,0,149,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017180719217894786,
0,0,150,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013936063058733947,
0,0,151,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017718858090901351,
0,0,152,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001506530180945603,
0,0,153,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001610847465020982,
0,0,154,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016393017959209209,
0,0,155,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014552381680788197,
0,0,156,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017012790901585527,
0,0,157,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.00168957989075744,
0,0,158,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017122325935990555,
0,0,159,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015853706498180245,
0,0,160,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001583762150524206,
0,0,161,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015872181694771886,
0,0,162,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015398181752002316,
0,0,163,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001497347267746316,
0,0,164,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015067426821391754,
0,0,165,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016222636367802614,
0,0,166,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016336898166812175,
0,0,167,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016169286797007147,
0,0,168,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.003286999630523953,
0,0,169,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015487850122016889,
0,0,170,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015439785277485412,
0,0,171,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0028343709720418785,
0,0,172,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016044074636334018,
0,0,173,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016508289864815987,
0,0,174,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016035369903845116,
0,0,175,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001588336979188063,
0,0,176,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015776179446207773,
0,0,177,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015829872305631212,
0,0,178,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015738751233002053,
0,0,179,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015711196090542302,
0,0,180,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015726167576041743,
0,0,181,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014705896766600002,
0,0,182,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001492818534592924,
0,0,183,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014481956213248718,
0,0,184,Não,Não,,,null,Sim,Desconhecido,Construída,Permanente,null,0.0016324625124891135,
0,0,185,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016102641524006886,
0,0,186,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016112513654421338,
0,0,187,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015928135652877415,
0,0,188,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001601984407414044,
0,0,189,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016171994663616014,
0,0,190,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015886203547253448,
0,0,191,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016220491306493865,
0,0,192,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016064586840423855,
0,0,193,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014684772608159066,
0,0,194,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014405712236300143,
0,0,195,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015001765927749834,
0,0,196,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015156354006435778,
0,0,197,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001491086416125541,
0,0,198,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.00168925951251626,
0,0,199,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016906483264237519,
0,0,200,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0017117169717151739,
0,0,201,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0016932491475091982,
0,0,202,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.002896279339099881,
0,0,203,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0013762120076357067,
0,0,204,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001526664648362909,
0,0,205,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014587005401535283,
0,0,206,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014898053788094774,
0,0,207,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015091675367432831,
0,0,208,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014591945522644321,
0,0,209,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0014951256433852894,
0,0,210,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.001466354235350911,
0,0,211,Não,Não,,,2,Sim,Revestimento primário,Construída,Permanente,null,0.002701996621403566,
0,0,212,Não,Não,,,2,Sim,Revestimento primário,Construída,Permanente,null,0.0017767256183658753,
0,0,213,Não,Não,,,2,Sim,Revestimento primário,Construída,Permanente,null,0.002241476504540611,
0,0,214,Não,Não,,,2,Sim,Calçado,Construída,Permanente,null,0.0015226493533104868,
